"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"722",4761218,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"723",4762244,1615,"Övriga brott mot 16 kap. BrB","2023-07-24","2023-07-24","Malmö","Skåne Län","1280C2920",1
"724",4765150,1615,"Övriga brott mot 16 kap. BrB","2023-06-01","2023-06-01","Göteborg","Västra Götalands Län","1480C2380",1
"725",4766587,1615,"Övriga brott mot 16 kap. BrB","2023-08-03","2023-08-03","Stockholm","Stockholms Län","0180C6310",1
"726",4777281,1615,"Övriga brott mot 16 kap. BrB","2023-06-20","2023-06-20","Malmö","Skåne Län","1280C2920",1
"727",4782395,1615,"Övriga brott mot 16 kap. BrB","2023-09-05","2023-09-03","Malmö","Skåne Län","1280C1760",1
"728",4786496,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"729",4791417,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"730",4792040,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"731",4795326,1615,"Övriga brott mot 16 kap. BrB","2023-09-16","2023-09-16","Stockholm","Stockholms Län","0180C4020",1
"732",4799505,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","Malmö","Skåne Län","1280C1750",1
"733",4802122,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","","Skåne Län","",1
"734",4804924,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"735",4804926,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"736",4805374,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"737",4805833,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"738",4811193,1615,"Övriga brott mot 16 kap. BrB","2023-08-29","2023-08-29","Helsingborg","Skåne Län","1283C1450",1
"739",4821745,1615,"Övriga brott mot 16 kap. BrB","2023-08-18","2023-08-01","Lidingö","Stockholms Län","0186C1200",1
"740",4833997,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"741",4835466,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"742",4835855,1615,"Övriga brott mot 16 kap. BrB","2023-08-31","2023-08-24","Stockholm","Stockholms Län","0180C3520",1
"743",4837468,1615,"Övriga brott mot 16 kap. BrB","2023-09-19","2023-09-19","Stockholm","Stockholms Län","0180C5770",1
"744",4847484,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"745",4849528,1615,"Övriga brott mot 16 kap. BrB","2023-08-23","2023-06-04","Borås","Västra Götalands Län","1490C1520",1
"746",4849633,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"747",4853560,1615,"Övriga brott mot 16 kap. BrB","2023-08-19","2023-08-19","Jönköping","Jönköpings Län","0680C1390",1
"748",4860922,1615,"Övriga brott mot 16 kap. BrB","2023-08-23","2023-06-04","Borås","Västra Götalands Län","1490C1520",1
"749",4861297,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"750",4862900,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"751",4870996,1615,"Övriga brott mot 16 kap. BrB","2023-09-16","2023-09-16","Södertälje","Stockholms Län","0181C1040",1
"752",4871077,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"753",4872831,1615,"Övriga brott mot 16 kap. BrB","2023-08-17","2023-08-17","Göteborg","Västra Götalands Län","1480C2590",1
"754",4874176,1615,"Övriga brott mot 16 kap. BrB","2023-09-03","2023-09-03","Stockholm","Stockholms Län","0180C5020",1
"755",4874702,1615,"Övriga brott mot 16 kap. BrB","2023-09-16","2023-09-16","Luleå","Norrbottens Län","2580C1230",1
"756",4898863,1615,"Övriga brott mot 16 kap. BrB","2023-10-04","2023-10-04","Malmö","Skåne Län","1280C2920",1
"757",4898870,1615,"Övriga brott mot 16 kap. BrB","2023-10-07","2023-10-07","Malmö","Skåne Län","1280C2920",1
"758",4903616,1615,"Övriga brott mot 16 kap. BrB","2023-09-28","2023-09-28","Nacka","Stockholms Län","0182C1410",1
"759",4903617,1615,"Övriga brott mot 16 kap. BrB","2023-09-28","2023-09-28","Nacka","Stockholms Län","0182C1410",1
"760",4903618,1615,"Övriga brott mot 16 kap. BrB","2023-09-28","2023-09-28","Nacka","Stockholms Län","0182C1410",1
"761",4903619,1615,"Övriga brott mot 16 kap. BrB","2023-09-28","2023-09-28","Nacka","Stockholms Län","0182C1410",1
"762",4909050,1615,"Övriga brott mot 16 kap. BrB","2023-09-30","2023-09-30","Nacka","Stockholms Län","0182C1410",1
"763",4909318,1615,"Övriga brott mot 16 kap. BrB","2023-10-04","2023-10-04","Malmö","Skåne Län","1280C2920",1
"764",4910126,1615,"Övriga brott mot 16 kap. BrB","2023-10-06","2023-10-06","Malmö","Skåne Län","1280C2920",1
"765",4913330,1615,"Övriga brott mot 16 kap. BrB","2023-09-30","2023-09-30","Nacka","Stockholms Län","0182C1410",1
"766",4913460,1615,"Övriga brott mot 16 kap. BrB","2023-10-07","2023-10-07","Malmö","Skåne Län","1280C2920",1
"767",4914477,1615,"Övriga brott mot 16 kap. BrB","2023-10-07","2023-10-07","Malmö","Skåne Län","1280C2920",1
"768",4915085,1615,"Övriga brott mot 16 kap. BrB","2023-10-01","2023-10-01","Stockholm","Stockholms Län","0180C4700",1
"769",4917943,1615,"Övriga brott mot 16 kap. BrB","2023-09-30","2023-09-30","Nacka","Stockholms Län","0182C1410",1
"770",4918527,1615,"Övriga brott mot 16 kap. BrB","2023-10-06","2023-10-06","Malmö","Skåne Län","1280C2920",1
"771",4918903,1615,"Övriga brott mot 16 kap. BrB","2023-09-30","2023-09-30","Nacka","Stockholms Län","0182C1410",1
"772",4918905,1615,"Övriga brott mot 16 kap. BrB","2023-09-30","2023-09-30","Nacka","Stockholms Län","0182C1410",1
"773",4920717,1615,"Övriga brott mot 16 kap. BrB","2023-10-07","2023-10-07","Malmö","Skåne Län","1280C2920",1
