"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"1312",781419,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-31","2019-10-30","Göteborg","Västra Götalands Län","",1
"1313",782032,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-30","2019-10-30","Norrköping","Östergötlands Län","",1
"1314",782034,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-30","2019-10-30","Valdemarsvik","Östergötlands Län","",1
"1315",783195,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-16","2019-10-16","Stockholm","Stockholms Län","",1
"1316",786390,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-24","2019-10-24","Norrköping","Östergötlands Län","",1
"1317",786674,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-21","2019-10-21","Örebro","Örebro Län","",1
"1318",787201,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-20","Håbo","Uppsala Län","",1
"1319",788233,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-09","2019-10-09","Mullsjö","Jönköpings Län","",1
"1320",788892,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-12","2019-10-12","Jönköping","Jönköpings Län","",1
"1321",789562,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-01","2019-11-01","Eskilstuna","Södermanlands Län","",1
"1322",790923,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-19","2019-10-19","Hallstahammar","Västmanlands Län","",1
"1323",791097,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-26","2019-10-26","Härryda","Västra Götalands Län","",1
"1324",791388,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-05","2019-11-05","Göteborg","Västra Götalands Län","",1
"1325",795869,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-03","2019-10-03","Skellefteå","Västerbottens Län","",1
"1326",797126,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-17","2019-10-17","Malmö","Skåne Län","",1
"1327",799736,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-17","2019-10-17","Stockholm","Stockholms Län","",1
"1328",801919,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-24","2019-10-24","Ale","Västra Götalands Län","",1
"1329",802084,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-19","2019-10-19","Sigtuna","Stockholms Län","",1
"1330",802631,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-03","2019-11-03","Strömstad","Västra Götalands Län","",1
"1331",802632,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-03","2019-11-03","Strömstad","Västra Götalands Län","",1
"1332",803007,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-08","2019-11-08","Sundsvall","Västernorrlands Län","",1
"1333",804775,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-08","2019-11-08","Österåker","Stockholms Län","",1
"1334",805063,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-13","2019-10-13","Göteborg","Västra Götalands Län","",1
"1335",805265,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-05","2019-11-05","","Värmlands Län","",1
"1336",806215,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-18","2019-10-18","Norrköping","Östergötlands Län","",1
"1337",806366,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-25","2019-10-24","Motala","Östergötlands Län","",1
"1338",806730,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-11","2019-11-11","Jönköping","Jönköpings Län","",1
"1339",807488,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-11","2019-10-11","Västerås","Västmanlands Län","",1
"1340",807490,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-11","2019-10-11","Västerås","Västmanlands Län","",1
"1341",809307,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-10","2019-11-10","Kungsbacka","Hallands Län","",1
"1342",809440,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-04","2019-11-04","Haninge","Stockholms Län","",1
"1343",809447,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-04","2019-11-04","Nyköping","Södermanlands Län","",1
"1344",809717,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-11","2019-11-11","Borås","Västra Götalands Län","",1
"1345",809718,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-11","2019-11-11","Borås","Västra Götalands Län","",1
"1346",809882,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-12","2019-10-11","Uppsala","Uppsala Län","",1
"1347",810594,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-10","2019-11-09","Ljusdal","Gävleborgs Län","",1
"1348",810998,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-11-04","2019-11-04","Stockholm","Stockholms Län","",1
"1349",812268,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-19","Hudiksvall","Gävleborgs Län","",1
"1350",812269,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-20","2019-10-19","Hudiksvall","Gävleborgs Län","",1
"1351",812653,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-18","2019-10-18","Norrköping","Östergötlands Län","",1
"1352",812901,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-31","2019-10-31","Osby","Skåne Län","",1
"1353",815909,1701,"Våld mot tjänsteman, mot polisman om våldet beräknas medföra att polismannen inte blir arbetsoförmögen eller blir arbetsoförmögen under kortare tid än ett dygn","2019-10-06","2019-10-06","Malmö","Skåne Län","",1
