"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"14073",4844070,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-22","2023-08-22","Västerås","Västmanlands Län","1980C1080",1
"14074",4844441,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-05","2023-09-05","Karlskrona","Blekinge Län","1080A0050",1
"14075",4844768,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-18","2023-09-16","Luleå","Norrbottens Län","2580C1320",1
"14076",4844968,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-23","2023-08-23","Kristianstad","Skåne Län","1290C1140",1
"14077",4845614,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-02","2023-09-02","Kristianstad","Skåne Län","1290C1230",1
"14078",4845806,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-06","2023-09-06","Huddinge","Stockholms Län","0126C1260",1
"14079",4846519,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-07","2023-09-05","Härryda","Västra Götalands Län","1401C1150",1
"14080",4847777,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-19","2023-08-18","Örebro","Örebro Län","1880C1060",1
"14081",4848045,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-09","2023-09-09","Sundsvall","Västernorrlands Län","2281C1220",1
"14082",4848228,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-08","2023-09-08","Stockholm","Stockholms Län","0180C5550",1
"14083",4848881,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-17","2023-09-17","Karlshamn","Blekinge Län","1082C1080",1
"14084",4849321,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-25","2023-08-24","Skövde","Västra Götalands Län","1496C1150",1
"14085",4850503,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-09-06","2023-09-04","Eskilstuna","Södermanlands Län","0484C1290",1
"14086",4850832,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-18","2023-08-18","Kungsbacka","Hallands Län","1384C1230",1
"14087",4851513,1210,"Skadegörelse, genom brand (ej på motorfordon)","2023-08-26","2023-08-26","Malmö","Skåne Län","1280C1800",1
