"","Id","Brottskod","Brottskod.klartext","Inskrivningsdatum","Brottsdatum","Kommun","Län","DeSO.område","Antal"
"565",1897247,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-24","2020-10-23","Malmö","Skåne Län","1280C2280",1
"566",1898824,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-29","","","",1
"567",1899200,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-24","2020-10-24","","Skåne Län","",1
"568",1899947,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-30","Malmö","Skåne Län","1280C1440",1
"569",1900299,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-22","2020-10-21","Malmö","Skåne Län","1280C1550",1
"570",1900303,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-22","2020-10-21","Malmö","Skåne Län","1280C1830",1
"571",1900556,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-25","2020-10-24","Köping","Västmanlands Län","1983C1090",1
"572",1901191,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-08","2020-11-08","Sollentuna","Stockholms Län","0163C1270",1
"573",1903350,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-24","2020-10-24","Malmö","Skåne Län","1280C1840",1
"574",1903654,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-30","Täby","Stockholms Län","0160C1160",1
"575",1904191,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-13","2020-06-07","Göteborg","Västra Götalands Län","1480C1710",1
"576",1904319,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-25","2020-10-25","Malmö","Skåne Län","1280C1880",1
"577",1904472,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-28","2020-10-28","Motala","Östergötlands Län","0583C1100",1
"578",1904624,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-30","Malmö","Skåne Län","",1
"579",1906481,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-07","2020-11-07","Södertälje","Stockholms Län","0181C1160",1
"580",1907498,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-03","2020-11-03","Malmö","Skåne Län","1280C1980",1
"581",1909364,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-26","2020-10-04","Malmö","Skåne Län","1280C1830",1
"582",1909446,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-31","2020-10-31","Malmö","Skåne Län","1280C1760",1
"583",1909561,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","1280C1890",1
"584",1911977,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-03","2020-11-03","Malmö","Skåne Län","1280C1830",1
"585",1912052,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-26","2020-09-18","Malmö","Skåne Län","1280C1890",1
"586",1913731,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-02","2020-11-02","Malmö","Skåne Län","1280C2830",1
"587",1914173,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-17","2020-11-17","Helsingborg","Skåne Län","1283C1500",1
"588",1914393,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-30","Malmö","Skåne Län","1280C1830",1
"589",1914610,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-10","2020-11-06","Borås","Västra Götalands Län","1490C1300",1
"590",1915150,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-15","2020-11-15","Jönköping","Jönköpings Län","0680C1100",1
"591",1916223,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-15","2020-11-15","Stockholm","Stockholms Län","0180C2470",1
"592",1916224,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-15","2020-11-15","Stockholm","Stockholms Län","0180C2470",1
"593",1918057,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-14","2020-11-14","Stockholm","Stockholms Län","0180C3800",1
"594",1918941,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-06","2020-10-10","","Skåne Län","",1
"595",1918961,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-11","2020-11-11","Kristianstad","Skåne Län","1290A0060",1
"596",1919583,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","",1
"597",1919912,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-31","2020-10-26","Göteborg","Västra Götalands Län","1480C3450",1
"598",1920206,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-03","2020-11-03","Malmö","Skåne Län","",1
"599",1920807,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-07","2020-11-07","Västerås","Västmanlands Län","1980C1580",1
"600",1921069,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-08","2020-11-08","Sigtuna","Stockholms Län","0191C1030",1
"601",1922240,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-24","2020-10-24","Malmö","Skåne Län","",1
"602",1923987,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-25","2020-10-25","Malmö","Skåne Län","1280C1830",1
"603",1925367,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-25","2020-10-25","Malmö","Skåne Län","1280C1880",1
"604",1926634,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-01","2020-11-01","","","",1
"605",1927126,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-02","2020-11-01","Hallsberg","Örebro Län","1861C1010",1
"606",1927953,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-26","2020-09-20","Malmö","Skåne Län","1280C1610",1
"607",1928152,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-16","2020-10-24","Bjuv","Skåne Län","1260C1030",1
"608",1928256,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-26","2020-10-19","Malmö","Skåne Län","1280C1770",1
"609",1929067,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-28","2020-10-27","Upplands Väsby","Stockholms Län","0114C1220",1
"610",1929290,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-16","2020-10-16","Eskilstuna","Södermanlands Län","0484C1360",1
"611",1930380,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-30","2020-10-30","Malmö","Skåne Län","",1
"612",1930954,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","1280C1830",1
"613",1931473,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-17","2020-11-14","Bjuv","Skåne Län","1260C1030",1
"614",1932693,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-16","2020-10-16","Täby","Stockholms Län","0160C1220",1
"615",1932964,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-17","2020-10-17","Eskilstuna","Södermanlands Län","0484C1400",1
"616",1933217,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-16","2020-11-16","Stockholm","Stockholms Län","0180C6260",1
"617",1933373,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-11-03","2020-10-23","Malmö","Skåne Län","1280C2790",1
"618",1934934,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","1280C1760",1
"619",1939605,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-27","2020-10-27","Malmö","Skåne Län","1280C1830",1
"620",1940204,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-13","2020-10-13","Eskilstuna","Södermanlands Län","0484C1050",1
"621",1941601,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-17","2020-10-17","Helsingborg","Skåne Län","1283C1450",1
"622",1944631,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-23","2020-10-23","Malmö","Skåne Län","1280C1830",1
"623",1945584,1311,"Sabotage mot blåljusverksamhet inkl. grovt","2020-10-29","2020-10-29","","","",1
